nazev_zastavky;poslední_zastavka;zpozdeni;linka
Patokryje,lávka;Sedlec,pivovar;0;10
Skršín,Chrámce;Skršín,Dobrčice;0;10
14.ZŠ;Kahan;0;12
Rudolická,MUS;Pod Lajsníkem;0;12
Komořany,KSK;Komořany,Obránců míru;0;12
Komořany,Nejedlý II;D.Jiřetín,hornická kolonie;0;12
Souš,Matylda;Souš,Vrbenský I;0;12
Dopravní podnik;Pionýrů;0;12
Osek,Hrdlovská;Osek,autokempink;0;13
Janov,horní část;Osada Poslušnost;0;13
H.Jiřetín,u nádraží;Černice,mlékárna;0;14
Janov;H.Jiřetín,rozcestí;0;14
Litvínov,náměstí Míru;Litvínov,Máj,věžové domy;0;14
Nemocnice;Pod Resslem;0;20
Pod Resslem;Široký vrch;0;20
Gymnázium;Muzeum;0;20
Janov,konečná;Janov,sportovní hala;0;21
Janov,pekárny;Janov;0;21
Hamr,sídliště;Hamr;0;21
Horní Lom;Loučná;0;21
Janov,blok D3;Janov,škola;0;21
Janov,sportovní hala;Janov,blok D3;0;21
Litvínov,Koldům;Horní Lom;0;21
Litvínov,sportovní škola;Litvínov,Citadela;0;21
Loučná;Loučná,konečná;0;21
Souš,Matylda;Souš,Finské domky;0;22
Meziboří,radnice;Litvínov,Partyzán;0;23
1.náměstí;Halasova;0;25
Litvínov,nádraží;Litvínov,náměstí Míru;0;27
Černice,mlékárna;Černice;0;28
H.Jiřetín, P.Holého;H.Jiřetín,u nádraží;0;28
H.Jiřetín,pošta;H.Jiřetín,pekařství;0;28
H.Jiřetín,požární zbrojnice;H.Jiřetín,rozcestí;0;28
H.Jiřetín,u nádraží;Černice,mlékárna;0;28
Černice,mlékárna;Černice;0;28
D.Jiřetín,rozcestí;H.Jiřetín,pekařství;0;28
H.Jiřetín,rozcestí;H.Jiřetín,Triola;0;28
H.Jiřetín,u nádraží;Černice,mlékárna;0;28
Nemilkov,rozcestí;Havraň;0;31
Sever;Nádraží;0;31
Čs.mládeže;1.náměstí;0;31
Havraň,Joseph vodojem;Havraň,Joseph II;0;31
Nemilkov,rozcestí;Bylany,DOMES;0;31
Čepirohy,areál ALTAMEX;Čepirohy,Hrabák;0;31
Havraň,Saběnice;Havraň,Nemak;0;31
Litvínov,Technické služby;Litvínov,poliklinika;0;40
Most,Čs.mládeže;Most,1. náměstí;0;40
Most,Dopravní podnik;Most,Severografia;0;40
Most,sportovní hala;Most,obchodní dům PRIOR;0;40
Záluží,areál Hlubina;Záluží,CHEMOPETROL;0;40
Záluží,Petrochemie;Záluží,CHEMOPETROL;0;40
Litvínov,Báňské stavby;Litvínov,nádraží;0;40
Litvínov,nádraží;Litvínov,Báňské stavby;0;40
Litvínov,obchodní dům;Litvínov,poliklinika;0;40
Litvínov,stadion;Litvínov,Technické služby;0;40
Litvínov,u dílen;Litvínov,Citadela;0;40
Most,Dopravní podnik;Most,Čs.mládeže;0;40
Most,Severografia;Most,Velebudická;0;40
Most,Chomutovská;Most,Souš;0;40
Dům peněžnictví;Speciální škola;0;50
Sportovní hala;Obchodní dům PRIOR;0;50
Aquadrom;1.náměstí;0;50
Kahan;Aquadrom;0;50
Speciální škola;14.ZŠ;0;50
10.ZŠ;Dopravní podnik;0;51
Dopravní podnik;Pionýrů;0;51
Pionýrů;Průběžná;0;51
Průběžná;Pod Městským hřbitovem;0;51
