case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case1;22;Nádraží;(22, 135);17;Dopravní podnik;(17, 111, 2);21:10:00;03.10.2023 21:07;03.10.2023 21:10;44;True;136;PRIOR;1
case1;22;Nádraží;(22, 135);20;Čs.armády;(20, 109);21:10:00;03.10.2023 21:07;03.10.2023 21:10;80;True;100;PRIOR;0
case1;22;Nádraží;(22, 135);30;Nádraží;(30, 135, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;52;True;128;PRIOR;1
case1;30;Nádraží;(30, 135, 1);2;Most,Velebudická;(2, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;59;True;121;PRIOR;1
case1;30;Nádraží;(30, 135, 1);4;Litvínov,Citadela;(4, 26);21:10:00;03.10.2023 21:07;03.10.2023 21:10;27;True;153;PRIOR;1
case1;30;Nádraží;(30, 135, 1);17;Dopravní podnik;(17, 111, 2);21:10:00;03.10.2023 21:07;03.10.2023 21:10;75;True;105;PRIOR;1
case1;30;Nádraží;(30, 135, 1);20;Čs.armády;(20, 109);21:10:00;03.10.2023 21:07;03.10.2023 21:10;46;True;134;PRIOR;0
case1;30;Nádraží;(30, 135, 1);22;Nádraží;(22, 135);21:10:00;03.10.2023 21:07;03.10.2023 21:10;52;True;128;PRIOR;1
case1;2;Most,Velebudická;(2, 1);4;Litvínov,Citadela;(4, 26);22:10:00;03.10.2023 22:07;03.10.2023 22:10;58;True;122;PRIOR;0
case1;2;Most,Velebudická;(2, 1);17;Dopravní podnik;(17, 111, 2);22:10:00;03.10.2023 22:07;03.10.2023 22:10;26;True;154;PRIOR;0
case1;2;Most,Velebudická;(2, 1);20;Čs.armády;(20, 109);22:10:00;03.10.2023 22:07;03.10.2023 22:10;38;True;142;PRIOR;1
