case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case1;2;Most,Velebudická;(2, 1);20;Čs.armády;(20, 109);21:10:00;2023-10-02 21:08:28.813341;02.10.2023 21:10;38;True;53.186659;PRIOR;1
case1;2;Most,Velebudická;(2, 1);22;Nádraží;(22, 135);21:10:00;2023-10-02 21:08:28.813341;02.10.2023 21:10;46;True;45.186659;PRIOR;1
case1;2;Most,Velebudická;(2, 1);30;Nádraží;(30, 135, 1);21:10:00;2023-10-02 21:08:28.813341;02.10.2023 21:10;59;True;32.186659;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);2;Most,Velebudická;(2, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;58;True;122;PRIOR;0
case1;4;Litvínov,Citadela;(4, 26);17;Dopravní podnik;(17, 111, 2);21:10:00;02.10.2023 21:07;02.10.2023 21:10;53;True;127;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);20;Čs.armády;(20, 109);21:10:00;02.10.2023 21:07;02.10.2023 21:10;52;True;128;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);22;Nádraží;(22, 135);21:10:00;02.10.2023 21:07;02.10.2023 21:10;39;True;141;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);30;Nádraží;(30, 135, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;27;True;153;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);2;Most,Velebudická;(2, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;26;True;154;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);4;Litvínov,Citadela;(4, 26);21:10:00;02.10.2023 21:07;02.10.2023 21:10;53;True;127;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);20;Čs.armády;(20, 109);21:10:00;02.10.2023 21:07;02.10.2023 21:10;54;True;126;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);22;Nádraží;(22, 135);21:10:00;02.10.2023 21:07;02.10.2023 21:10;44;True;136;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);30;Nádraží;(30, 135, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;75;True;105;PRIOR;0
case1;20;Čs.armády;(20, 109);2;Most,Velebudická;(2, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;38;True;142;PRIOR;1
case1;20;Čs.armády;(20, 109);4;Litvínov,Citadela;(4, 26);21:10:00;02.10.2023 21:07;02.10.2023 21:10;52;True;128;PRIOR;1
case1;20;Čs.armády;(20, 109);17;Dopravní podnik;(17, 111, 2);21:10:00;02.10.2023 21:07;02.10.2023 21:10;54;True;126;PRIOR;1
case1;20;Čs.armády;(20, 109);22;Nádraží;(22, 135);21:10:00;02.10.2023 21:07;02.10.2023 21:10;80;True;100;PRIOR;0
case1;20;Čs.armády;(20, 109);30;Nádraží;(30, 135, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);2;Most,Velebudická;(2, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);4;Litvínov,Citadela;(4, 26);21:10:00;02.10.2023 21:07;02.10.2023 21:10;39;True;141;PRIOR;1
case1;22;Nádraží;(22, 135);17;Dopravní podnik;(17, 111, 2);21:10:00;02.10.2023 21:07;02.10.2023 21:10;44;True;136;PRIOR;1
case1;22;Nádraží;(22, 135);20;Čs.armády;(20, 109);21:10:00;02.10.2023 21:07;02.10.2023 21:10;80;True;100;PRIOR;0
case1;22;Nádraží;(22, 135);30;Nádraží;(30, 135, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;52;True;128;PRIOR;1
case1;30;Nádraží;(30, 135, 1);2;Most,Velebudická;(2, 1);21:10:00;02.10.2023 21:07;02.10.2023 21:10;59;True;121;PRIOR;1
case1;30;Nádraží;(30, 135, 1);4;Litvínov,Citadela;(4, 26);21:10:00;02.10.2023 21:07;02.10.2023 21:10;27;True;153;PRIOR;1
case1;30;Nádraží;(30, 135, 1);17;Dopravní podnik;(17, 111, 2);21:10:00;02.10.2023 21:07;02.10.2023 21:10;75;True;105;PRIOR;1
case1;30;Nádraží;(30, 135, 1);20;Čs.armády;(20, 109);21:10:00;02.10.2023 21:07;02.10.2023 21:10;46;True;134;PRIOR;0
case1;30;Nádraží;(30, 135, 1);22;Nádraží;(22, 135);21:10:00;02.10.2023 21:07;02.10.2023 21:10;52;True;128;PRIOR;1
case1;2;Most,Velebudická;(2, 1);4;Litvínov,Citadela;(4, 26);22:10:00;02.10.2023 22:07;02.10.2023 22:10;58;True;122;PRIOR;0
case1;2;Most,Velebudická;(2, 1);17;Dopravní podnik;(17, 111, 2);22:10:00;02.10.2023 22:07;02.10.2023 22:10;26;True;154;PRIOR;0
case1;2;Most,Velebudická;(2, 1);20;Čs.armády;(20, 109);22:10:00;02.10.2023 22:07;02.10.2023 22:10;38;True;142;PRIOR;1
case1;2;Most,Velebudická;(2, 1);22;Nádraží;(22, 135);22:10:00;02.10.2023 22:07;02.10.2023 22:10;46;True;134;PRIOR;1
case1;2;Most,Velebudická;(2, 1);30;Nádraží;(30, 135, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;59;True;121;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);2;Most,Velebudická;(2, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;58;True;122;PRIOR;0
case1;4;Litvínov,Citadela;(4, 26);17;Dopravní podnik;(17, 111, 2);22:10:00;02.10.2023 22:07;02.10.2023 22:10;53;True;127;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);20;Čs.armády;(20, 109);22:10:00;02.10.2023 22:07;02.10.2023 22:10;52;True;128;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);22;Nádraží;(22, 135);22:10:00;02.10.2023 22:07;02.10.2023 22:10;39;True;141;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);30;Nádraží;(30, 135, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;27;True;153;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);2;Most,Velebudická;(2, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;26;True;154;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);4;Litvínov,Citadela;(4, 26);22:10:00;02.10.2023 22:07;02.10.2023 22:10;53;True;127;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);20;Čs.armády;(20, 109);22:10:00;02.10.2023 22:07;02.10.2023 22:10;54;True;126;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);22;Nádraží;(22, 135);22:10:00;02.10.2023 22:07;02.10.2023 22:10;44;True;136;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);30;Nádraží;(30, 135, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;75;True;105;PRIOR;0
case1;20;Čs.armády;(20, 109);2;Most,Velebudická;(2, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;38;True;142;PRIOR;1
case1;20;Čs.armády;(20, 109);4;Litvínov,Citadela;(4, 26);22:10:00;02.10.2023 22:07;02.10.2023 22:10;52;True;128;PRIOR;1
case1;20;Čs.armády;(20, 109);17;Dopravní podnik;(17, 111, 2);22:10:00;02.10.2023 22:07;02.10.2023 22:10;54;True;126;PRIOR;1
case1;20;Čs.armády;(20, 109);22;Nádraží;(22, 135);22:10:00;02.10.2023 22:07;02.10.2023 22:10;80;True;100;PRIOR;0
case1;20;Čs.armády;(20, 109);30;Nádraží;(30, 135, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);2;Most,Velebudická;(2, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);4;Litvínov,Citadela;(4, 26);22:10:00;02.10.2023 22:07;02.10.2023 22:10;39;True;141;PRIOR;1
case1;22;Nádraží;(22, 135);17;Dopravní podnik;(17, 111, 2);22:10:00;02.10.2023 22:07;02.10.2023 22:10;44;True;136;PRIOR;1
case1;22;Nádraží;(22, 135);20;Čs.armády;(20, 109);22:10:00;02.10.2023 22:07;02.10.2023 22:10;80;True;100;PRIOR;0
case1;22;Nádraží;(22, 135);30;Nádraží;(30, 135, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;52;True;128;PRIOR;1
case1;30;Nádraží;(30, 135, 1);2;Most,Velebudická;(2, 1);22:10:00;02.10.2023 22:07;02.10.2023 22:10;59;True;121;PRIOR;1
case1;30;Nádraží;(30, 135, 1);4;Litvínov,Citadela;(4, 26);22:10:00;02.10.2023 22:07;02.10.2023 22:10;27;True;153;PRIOR;1
case1;30;Nádraží;(30, 135, 1);17;Dopravní podnik;(17, 111, 2);22:10:00;02.10.2023 22:07;02.10.2023 22:10;75;True;105;PRIOR;1
case1;30;Nádraží;(30, 135, 1);20;Čs.armády;(20, 109);22:10:00;02.10.2023 22:07;02.10.2023 22:10;46;True;134;PRIOR;0
case1;30;Nádraží;(30, 135, 1);22;Nádraží;(22, 135);22:10:00;02.10.2023 22:07;02.10.2023 22:10;52;True;128;PRIOR;1
case1;2;Most,Velebudická;(2, 1);4;Litvínov,Citadela;(4, 26);20:10:00;2023-10-03 20:08:28.751879;03.10.2023 20:10;58;True;33.248121;PRIOR;0
case1;2;Most,Velebudická;(2, 1);17;Dopravní podnik;(17, 111, 2);20:10:00;2023-10-03 20:08:28.751879;03.10.2023 20:10;26;True;65.248121;PRIOR;0
case1;2;Most,Velebudická;(2, 1);20;Čs.armády;(20, 109);20:10:00;2023-10-03 20:08:28.751879;03.10.2023 20:10;38;True;53.248121;PRIOR;1
case1;2;Most,Velebudická;(2, 1);22;Nádraží;(22, 135);20:10:00;2023-10-03 20:08:28.751879;03.10.2023 20:10;46;True;45.248121;PRIOR;1
case1;2;Most,Velebudická;(2, 1);30;Nádraží;(30, 135, 1);20:10:00;2023-10-03 20:08:28.751879;03.10.2023 20:10;59;True;32.248121;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);2;Most,Velebudická;(2, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;58;True;122;PRIOR;0
case1;4;Litvínov,Citadela;(4, 26);17;Dopravní podnik;(17, 111, 2);20:10:00;03.10.2023 20:07;03.10.2023 20:10;53;True;127;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);20;Čs.armády;(20, 109);20:10:00;03.10.2023 20:07;03.10.2023 20:10;52;True;128;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);22;Nádraží;(22, 135);20:10:00;03.10.2023 20:07;03.10.2023 20:10;39;True;141;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);30;Nádraží;(30, 135, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;27;True;153;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);2;Most,Velebudická;(2, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;26;True;154;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);4;Litvínov,Citadela;(4, 26);20:10:00;03.10.2023 20:07;03.10.2023 20:10;53;True;127;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);20;Čs.armády;(20, 109);20:10:00;03.10.2023 20:07;03.10.2023 20:10;54;True;126;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);22;Nádraží;(22, 135);20:10:00;03.10.2023 20:07;03.10.2023 20:10;44;True;136;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);30;Nádraží;(30, 135, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;75;True;105;PRIOR;0
case1;20;Čs.armády;(20, 109);2;Most,Velebudická;(2, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;38;True;142;PRIOR;1
case1;20;Čs.armády;(20, 109);4;Litvínov,Citadela;(4, 26);20:10:00;03.10.2023 20:07;03.10.2023 20:10;52;True;128;PRIOR;1
case1;20;Čs.armády;(20, 109);17;Dopravní podnik;(17, 111, 2);20:10:00;03.10.2023 20:07;03.10.2023 20:10;54;True;126;PRIOR;1
case1;20;Čs.armády;(20, 109);22;Nádraží;(22, 135);20:10:00;03.10.2023 20:07;03.10.2023 20:10;80;True;100;PRIOR;0
case1;20;Čs.armády;(20, 109);30;Nádraží;(30, 135, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);2;Most,Velebudická;(2, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);4;Litvínov,Citadela;(4, 26);20:10:00;03.10.2023 20:07;03.10.2023 20:10;39;True;141;PRIOR;1
case1;22;Nádraží;(22, 135);17;Dopravní podnik;(17, 111, 2);20:10:00;03.10.2023 20:07;03.10.2023 20:10;44;True;136;PRIOR;1
case1;22;Nádraží;(22, 135);20;Čs.armády;(20, 109);20:10:00;03.10.2023 20:07;03.10.2023 20:10;80;True;100;PRIOR;0
case1;22;Nádraží;(22, 135);30;Nádraží;(30, 135, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;52;True;128;PRIOR;1
case1;30;Nádraží;(30, 135, 1);2;Most,Velebudická;(2, 1);20:10:00;03.10.2023 20:07;03.10.2023 20:10;59;True;121;PRIOR;1
case1;30;Nádraží;(30, 135, 1);4;Litvínov,Citadela;(4, 26);20:10:00;03.10.2023 20:07;03.10.2023 20:10;27;True;153;PRIOR;1
case1;30;Nádraží;(30, 135, 1);17;Dopravní podnik;(17, 111, 2);20:10:00;03.10.2023 20:07;03.10.2023 20:10;75;True;105;PRIOR;1
case1;30;Nádraží;(30, 135, 1);20;Čs.armády;(20, 109);20:10:00;03.10.2023 20:07;03.10.2023 20:10;46;True;134;PRIOR;0
case1;30;Nádraží;(30, 135, 1);22;Nádraží;(22, 135);20:10:00;03.10.2023 20:07;03.10.2023 20:10;52;True;128;PRIOR;1
case1;2;Most,Velebudická;(2, 1);4;Litvínov,Citadela;(4, 26);21:10:00;2023-10-03 21:07:58.414600;03.10.2023 21:10;58;True;63.5854;PRIOR;0
case1;2;Most,Velebudická;(2, 1);17;Dopravní podnik;(17, 111, 2);21:10:00;2023-10-03 21:07:58.414600;03.10.2023 21:10;26;True;95.5854;PRIOR;0
case1;2;Most,Velebudická;(2, 1);20;Čs.armády;(20, 109);21:10:00;2023-10-03 21:07:58.414600;03.10.2023 21:10;38;True;83.5854;PRIOR;1
case1;2;Most,Velebudická;(2, 1);22;Nádraží;(22, 135);21:10:00;2023-10-03 21:07:58.414600;03.10.2023 21:10;46;True;75.5854;PRIOR;1
case1;2;Most,Velebudická;(2, 1);30;Nádraží;(30, 135, 1);21:10:00;2023-10-03 21:07:58.414600;03.10.2023 21:10;59;True;62.5854;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);2;Most,Velebudická;(2, 1);21:10:00;2023-10-03 21:07:13.900455;03.10.2023 21:10;58;True;108.099545;PRIOR;0
case1;4;Litvínov,Citadela;(4, 26);17;Dopravní podnik;(17, 111, 2);21:10:00;2023-10-03 21:07:13.900455;03.10.2023 21:10;53;True;113.099545;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);20;Čs.armády;(20, 109);21:10:00;2023-10-03 21:07:13.900455;03.10.2023 21:10;52;True;114.099545;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);22;Nádraží;(22, 135);21:10:00;2023-10-03 21:07:13.900455;03.10.2023 21:10;39;True;127.099545;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);30;Nádraží;(30, 135, 1);21:10:00;2023-10-03 21:07:13.900455;03.10.2023 21:10;27;True;139.099545;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);2;Most,Velebudická;(2, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;26;True;154;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);4;Litvínov,Citadela;(4, 26);21:10:00;03.10.2023 21:07;03.10.2023 21:10;53;True;127;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);20;Čs.armády;(20, 109);21:10:00;03.10.2023 21:07;03.10.2023 21:10;54;True;126;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);22;Nádraží;(22, 135);21:10:00;03.10.2023 21:07;03.10.2023 21:10;44;True;136;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);30;Nádraží;(30, 135, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;75;True;105;PRIOR;0
case1;20;Čs.armády;(20, 109);2;Most,Velebudická;(2, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;38;True;142;PRIOR;1
case1;20;Čs.armády;(20, 109);4;Litvínov,Citadela;(4, 26);21:10:00;03.10.2023 21:07;03.10.2023 21:10;52;True;128;PRIOR;1
case1;20;Čs.armády;(20, 109);17;Dopravní podnik;(17, 111, 2);21:10:00;03.10.2023 21:07;03.10.2023 21:10;54;True;126;PRIOR;1
case1;20;Čs.armády;(20, 109);22;Nádraží;(22, 135);21:10:00;03.10.2023 21:07;03.10.2023 21:10;80;True;100;PRIOR;0
case1;20;Čs.armády;(20, 109);30;Nádraží;(30, 135, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);2;Most,Velebudická;(2, 1);21:10:00;03.10.2023 21:07;03.10.2023 21:10;46;True;134;PRIOR;1
case1;22;Nádraží;(22, 135);4;Litvínov,Citadela;(4, 26);21:10:00;03.10.2023 21:07;03.10.2023 21:10;39;True;141;PRIOR;1
