case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);13:03:00;22.10.2023 23:59;22.10.2023 13:02;0;False;;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);13:03:00;22.10.2023 23:59;2023-10-22 13:00:55.600544;25;False;;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);13:03:00;22.10.2023 23:59;22.10.2023 13:02;15;False;;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);13:03:00;2023-10-22 12:58:47.108678;22.10.2023 13:03;35;True;217.891322;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);13:03:00;2023-10-22 12:58:47.108678;22.10.2023 23:59;0;True;;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);13:03:00;2023-10-22 12:58:47.108678;2023-10-22 13:00:55.600544;25;True;103.491866;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);13:03:00;2023-10-22 12:58:47.108678;22.10.2023 13:02;15;True;177.891322;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);13:03:00;2023-10-22 13:00:35.600544;22.10.2023 13:03;10;True;134.399456;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);13:03:00;2023-10-22 13:00:35.600544;22.10.2023 23:59;25;True;;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);13:03:00;2023-10-22 13:00:35.600544;22.10.2023 13:02;25;True;59.399456;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);13:03:00;2023-10-22 13:01:05.709125;22.10.2023 13:03;25;True;89.290875;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);13:03:00;2023-10-22 13:01:05.709125;22.10.2023 23:59;15;True;;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);13:03:00;2023-10-22 13:01:05.709125;22.10.2023 13:02;15;True;39.290875;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);15:03:00;2023-10-22 15:00:05.662640;22.10.2023 15:02;35;True;79.33736;Litvínov;0
case26;13;Loučná,konečná;(13, 210);4;Most,Dopravní podnik;(4, 3);15:03:00;2023-10-22 15:00:05.662640;2023-10-22 15:00:57.480057;10;True;41.817417;Litvínov;1
case26;13;Loučná,konečná;(13, 210);4;Litvínov,Citadela;(4, 26);15:03:00;2023-10-22 15:00:05.662640;2023-10-22 15:02:38.240099;25;True;127.577459;Litvínov;1
case26;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);15:03:00;22.10.2023 15:00;22.10.2023 15:02;0;True;120;Litvínov;0
case26;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);15:03:00;22.10.2023 15:00;2023-10-22 15:00:57.480057;25;True;32.480057;Litvínov;1
case26;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);15:03:00;22.10.2023 15:00;2023-10-22 15:02:38.240099;15;True;143.240099;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);13;Loučná,konečná;(13, 210);15:03:00;22.10.2023 23:59;22.10.2023 15:03;35;False;;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);15:03:00;22.10.2023 23:59;22.10.2023 15:03;0;False;;Litvínov;0
case26;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);15:03:00;22.10.2023 23:59;2023-10-22 15:00:57.480057;25;False;;Litvínov;1
case26;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);15:03:00;22.10.2023 23:59;2023-10-22 15:02:38.240099;15;False;;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Loučná,konečná;(13, 210);15:03:00;2023-10-22 15:00:37.480057;22.10.2023 15:03;10;True;132.519943;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);15:03:00;2023-10-22 15:00:37.480057;22.10.2023 15:03;25;True;117.519943;Litvínov;1
case26;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);15:03:00;2023-10-22 15:00:37.480057;22.10.2023 15:02;25;True;57.519943;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Loučná,konečná;(13, 210);15:03:00;2023-10-22 15:02:18.240099;22.10.2023 15:03;25;True;16.759901;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);15:03:00;2023-10-22 15:02:18.240099;22.10.2023 15:03;15;True;26.759901;Litvínov;1
case26;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);15:03:00;2023-10-22 15:02:18.240099;22.10.2023 15:02;15;False;-33.240099;Litvínov;1
case26;13;Loučná,konečná;(13, 210);14;H.Jiřetín,pekařství;(14, 244);8:03:00;28.10.2023 8:00;28.10.2023 8:02;35;True;85;Litvínov;0
